Day;MxT;MnT;AvT;AvDP;HrPTPcpn;PDir;AvSp;Dir;MxS;SkyC;MxR;Mn;RAvSLP
1;88;59;74;538;0;280;96;270;17;16;93;23;10045
2;79;63;71;465;0;330;87;340;23;33;70;28;10045
3;77;55;66;396;0;350;5;350;9;28;59;24;10168
4;77;59;68;511;0;110;91;130;12;86;62;40;10211
5;90;66;78;683;0;220;83;260;12;69;84;55;10144
6;81;61;71;637;0;30;62;30;13;97;93;60;10127
7;73;57;65;53;0;50;95;50;17;53;90;48;10218
8;75;54;65;50;0;160;42;150;10;26;93;41;10263
9;86;32;59;615;0;240;76;220;12;6;78;46;10186
10;84;64;74;575;0;210;66;50;9;34;84;40;1019
11;91;59;75;663;0;250;71;230;12;25;93;45;10126
12;88;73;81;687;0;250;81;270;21;79;94;51;1007
13;70;59;65;55;0;150;3;150;8;10;83;59;10126
14;61;59;60;559;0;60;67;80;9;10;93;87;10086
15;64;55;60;549;0;40;43;200;7;96;96;70;10061
16;79;59;69;567;0;250;76;240;21;78;87;44;1007
17;81;57;69;517;0;260;91;270;29;52;90;34;10125
18;82;52;67;526;0;230;4;190;12;5;93;34;10213
19;81;61;71;589;0;250;52;230;12;53;87;44;10285
20;84;57;71;589;0;150;63;160;13;36;90;43;10325
21;86;59;73;577;0;240;61;250;12;1;87;35;10307
22;90;64;77;611;0;250;64;230;9;2;78;38;10264
23;90;68;79;631;0;240;83;230;12;2;68;42;10213
24;90;77;84;675;0;350;85;10;14;69;74;48;10182
25;90;72;81;613;0;190;49;230;9;56;81;29;10196
26;97;64;81;704;0;50;51;200;12;4;107;45;10149
27;91;72;82;697;0;250;121;230;17;71;90;47;1009
28;84;68;76;656;0;280;76;340;16;7;100;51;1011
29;88;66;77;597;0;40;54;20;9;53;84;33;10206
30;90;45;68;636;0;240;6;220;17;48;200;41;10227
